,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
1181,7,7,2,4,5,-146.1568,63.8633,622,0.545914735,285.2958856,122,166,5898,6044,5902,439,2153,1991,518,576,409,501,0.0,78.1100006103516,27446.359375,-20.25,-34.2000007629395,12245,12061,2014,2,10,0,0,3,1.85435732205709,0.549700260162354,95113.3805338542,0.0007153898477554,-1.01225450634956e-05,2.5629997253418e-06,0.0,0.65625,225.442693074544,99.998046875,238.938614527384,242.782204945882,0.25
69,9,9,4,1,1,-156.096096428571,65.12945,181,0.133118799,261.6538173,759,823,3540,4122,3942,387,1981,110,477,515,477,516,4.30999994277954,234.100006103516,54935.828125,-2.16000008583069,-15.039999961853,13277,12993,2002,4,19,0,0,0,-0.667842030525208,-0.512221018473307,99416.7060546875,0.0002981573343276,-0.000327912159264,0.0006171651184558,0.0,0.427001953125,238.819971720378,100.0,259.296670277913,263.472133636475,41.5160210893717
351,7,7,2,1,5,-153.0222,65.5276,572,0.099193804,257.7030345,5302,2846,702,2287,344,1169,2000,3088,387,467,390,469,5.32999992370605,89.1600036621094,59058.87890625,4.42999982833862,0.0399999991059303,13624,13323,2004,4,27,0,0,0,1.87575213114421,-0.329919815063477,94792.1254882812,0.0003449320793151,-0.0005019148811697,0.0007315836846828,0.0013281647115945,0.3603515625,319.291000366211,100.0,271.184469223022,274.458513895671,0.25
1163,15,15,9,7,10,-159.379125,56.195025,1886,0.250635495,22.31152803,-626,-321,1374,1212,1218,5049,1747,1478,237,316,293,354,2.25,50.7099990844727,61039.21875,-4.55999994277954,-4.55999994277954,13610,13259,2013,6,1,1,0,0,0.801457087198893,-1.25530751546224,87462.8481445312,0.0060677230358123,-4.8510730266571e-05,0.0,0.0060105063021183,33.3330078125,299.999984741211,99.990234375,272.930868148804,274.285162607829,0.558338492120328
429,9,9,4,1,1,-141.7993,64.813625,955,0.193440711,87.7864654,5698,3039,617,2252,334,996,182,2000,151,113,151,118,0.0,174.440002441406,68570.4296875,9.84000015258789,5.05999994277954,14572,13793,2004,5,22,1,0,0,0.0891383091608683,-0.082269032796224,90181.1446940104,0.0003074705600738,-0.001530272886157,0.0,3.45408916473389e-05,-7.27919033709973e-24,293.398422241211,0.189371744791667,273.422653834025,280.271339416504,0.329310622248798
1930,9,9,4,1,1,-146.9709,66.6799,230,0.156772251,6.151312872,4893,2036,565,1648,232,1334,640,2682,175,129,176,129,0.0,256.75,59127.80078125,6.84999990463257,-3.60999989509583,14006,13628,2021,4,26,0,0,0,-1.77771858374278,-2.56432660420736,98368.4685872396,3.71932983398438e-05,-0.0004488620907068,0.0,0.0006298013031482,0.0287272135416667,220.624984741211,28.8937174479167,265.860151290894,278.104738235474,0.25
239,9,9,4,1,1,-147.5021,66.8643,190,0.138743832,148.8747124,3985,1628,630,1465,323,594,1960,703,242,248,242,248,0.159999996423721,245.119995117188,54603.78125,7.80000019073486,-4.34000015258789,13741,13490,2003,4,16,0,0,0,-0.740516662597656,-0.374462127685547,96731.5673828125,0.0001210272312164,-0.0004575327038764,3.96221876144409e-05,0.0016981661319732,0.453165690104167,266.397445678711,100.0,269.062171936035,273.795054117839,0.25
1749,8,8,4,1,1,-152.298503846154,64.3211478021978,367,0.110633504,234.2314531,534,427,3232,3597,2598,295,2000,1916,223,227,219,226,1.07000005245209,221.259994506836,45616.44921875,4.73000001907349,-3.78999996185303,13827,13460,2019,3,28,0,0,0,-0.652299880981445,-0.680182774861654,98593.7322591146,0.00039803981781,-0.0002487851306796,0.0009611472487449,0.0002948492765426,0.28955078125,285.968409220378,100.0,269.412394205729,272.082497914632,155.863749042997
855,8,8,4,1,1,-150.556381818182,64.4346181818182,193,0.250635495,22.31152803,294,373,4988,5291,4598,430,791,1551,539,498,487,471,0.0,126.540000915527,33875.8515625,-18.4300003051758,-30.6900005340576,12611,12955,2010,2,27,1,0,3,-1.1512762705485,-0.0040181477864583,98671.5387369792,8.19563865661621e-05,-8.87904316186905e-05,2.75671482086182e-05,0.0,0.2158203125,169.607406616211,96.59375,243.944852828979,247.519511540731,8.37281465830301
464,8,8,4,1,1,-145.813366666667,64.8118333333333,678,0.400005572,334.3824444,-150,-82,1415,1373,2340,226,2000,1019,168,178,135,158,0.0,225.639999389648,41138.16015625,2.48000001907349,-14.25,13402,12738,2005,3,17,0,0,3,0.397697289784749,2.0845992565155,93811.3336588542,0.0001666396856307,-0.0001256093382835,0.0046938546001911,0.0,0.578572591145833,246.301742553711,100.0,266.01172765096,267.657897949219,0.984541624259151
