,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,isFire
35,8,8.0,4,1,1,-149.1408,65.21418,132,0.172770199,229.6704915,3669,1898,979,2114,406,421,1992,667,160,138,147,129,0.0,223.449996948242,42359.83984375,2.42000007629395,-14.2200002670288,12903,12724,2002,3,20,0,0,0,-1.4191453854243,-0.229899764060974,101017.416178385,3.39895486831665e-05,-0.0002594925463199,0.0,0.0,0.2200927734375,186.626612345378,91.5625,257.979456583659,263.701494852702,1
3481,7,7.0,2,1,5,-152.29,64.8765,259,0.110633504080775,234.231453075904,2659,1037,781,1347,319,1015,3042,2000,384,464,386,467,0.0,334.570007324219,52310.5390625,5.0,-11.1899995803833,13698,13290,2015,4,13,0,0,0,-0.764873107274373,0.428829193115234,97153.9166666667,0.0001575499773025,-0.0005971128121018,4.42340970039368e-05,0.0,0.2119140625,251.079411824544,99.83203125,264.191087722778,269.151126225789,0
3424,11,10.0,4,1,1,-153.99716,61.09774,326,1.30697703887338,282.891500627961,717,829,3999,4617,2299,535,3999,1996,129,98,126,96,0.0,229.020004272461,44603.51953125,9.80000019073486,0.0500000007450581,14044,13585,2015,3,26,0,0,0,-0.891502181688944,-1.894318262736,93882.1455078125,0.0004433244466781,-0.000442718155682,0.0004149861633777,0.0,0.7698974609375,282.943344116211,99.255859375,267.693373362223,272.405474980672,0
2864,8,8.0,4,1,1,-155.484559782609,62.1646673913044,204,0.0428547385152224,164.132434166851,520,527,3231,3586,3291,267,1972,1982,392,438,392,439,0.0,403.0,48691.73828125,4.05999994277954,-16.5100002288818,13515,12973,2009,4,6,0,0,0,0.287144780158997,-0.864597956339518,97364.5639648438,0.000319093465805,-0.0003474727272987,7.45058059692383e-08,0.0,1.05314127604167,285.101872762044,99.947265625,258.956967035929,265.614491780599,0
856,8,8.0,4,1,1,-148.97104,65.402128,416,0.086400232,253.0087634,2634,1477,1065,1827,1460,300,3934,337,185,225,157,190,0.0,68.6100006103516,33435.5390625,-20.0799999237061,-24.8700008392334,12697,12156,2010,2,27,1,0,3,-1.43443870544434,0.539642333984375,96138.1637369792,4.70280647277832e-05,-7.16466456651688e-05,0.0001428574323654,0.0,0.2296142578125,154.969385782878,100.0,243.685087203979,247.218079249064,1
2365,8,8.0,4,1,1,-141.757211182109,65.2007597444089,238,0.313403824626487,299.28276518554,-70,-110,8512,8393,7107,583,2000,2000,472,535,461,531,0.0,258.320007324219,42779.69921875,-10.8699998855591,-32.310001373291,13349,12991,2004,3,20,1,0,0,0.301673889160156,-0.575944264729818,97610.4591471354,0.0003049969673156,-6.85807317495346e-05,2.62260437011719e-06,0.0,0.553629557291667,193.150049845378,99.185546875,241.967971801758,247.345993041992,0
2461,8,8.0,4,1,1,-145.0243,66.4599,142,0.106929743879842,353.058970638245,7422,2999,246,1663,177,485,2000,1990,115,89,121,94,9.52000045776367,255.660003662109,66383.359375,14.8199996948242,1.53999996185303,13889,13704,2004,5,11,0,0,0,0.226860125859578,0.555369059244792,100583.889811198,2.8952956199646e-05,-0.0007669022306799,0.0,0.0019391253590583,0.0153401692708333,151.318344116211,15.5917154947917,273.848175048828,280.906905492147,0
1310,8,8.0,4,1,1,-154.852547619048,64.7566547619048,78,0.178508064,56.24385594,-83,-107,5363,5274,4274,203,2000,1996,512,592,506,587,0.0,259.790008544922,44021.890625,2.96000003814697,-14.9700002670288,13527,12849,2015,3,24,0,0,0,-1.28538839022319,-1.0504093170166,100467.221354167,0.0002652555704116,-0.0004398124292492,0.0,0.0,0.43310546875,228.240544637044,99.962890625,262.711957931519,267.136711756388,1
707,15,15.0,9,7,10,-161.8923,55.4057,2149,0.025017379,270.0,-380,-582,8213,7611,8047,3255,871,327,273,365,277,356,37.5999984741211,255.889999389648,59541.05078125,7.71000003814697,5.09000015258789,13531,13697,2007,5,26,1,0,0,0.559056599934896,2.4292049407959,94605.9858398438,0.011995404958725,-7.51977786421776e-05,0.0001787804067134,0.0103310458362103,13.5623779296875,366.937159220378,99.701171875,273.753166834513,275.283322652181,1
57,8,8.0,4,1,1,-153.159166666667,64.5126666666667,144,0.086469813,212.2018539,1172,1088,2609,3302,2472,454,1964,1987,205,191,207,193,0.0,294.980010986328,47666.078125,2.48000001907349,-17.7600002288818,13459,12689,2002,4,2,0,0,0,-0.145534515380859,0.398635228474935,101218.033528646,0.0002596378326416,-0.000359246507287,1.86152756214142e-05,0.0,0.324422200520833,221.946924845378,100.0,258.282360076904,265.084278742472,1
